"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"903283777862062081","https://twitter.com/DataBzh/status/903283777862062081","RT @opendata_fr: Très haut débit : vers un #opendata (enfin) précis, transféré de l'Agence du numérique à l'Arcep  https://t.co/g9BeqAe75N","2017-08-31 15:50 +0000","388.0","4.0","0.010309278350515464","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"903244761712271361","https://twitter.com/DataBzh/status/903244761712271361","#Data : la SNCF, la RATP, Transdev et Blablacar s’allient pour contrer Google https://t.co/6lhN0Lec8f via @LesEchos","2017-08-31 13:15 +0000","435.0","10.0","0.022988505747126436","2.0","0.0","1.0","0.0","7.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"903193159181664256","https://twitter.com/DataBzh/status/903193159181664256","Comment la NASA est passée des données à la connaissance … https://t.co/nYQbp104dp via @MyDigitalWeek","2017-08-31 09:50 +0000","562.0","4.0","0.0071174377224199285","1.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"903166327212400640","https://twitter.com/DataBzh/status/903166327212400640","[Archive] Les déchèteries de Rennes Métropole : tonnages, matières et équipements. https://t.co/9T3Fg86Aiq #territoire","2017-08-31 08:03 +0000","388.0","2.0","0.005154639175257732","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"903152903317331968","https://twitter.com/DataBzh/status/903152903317331968","Comment les annonceurs valorisent-ils leurs données marketing ? | Viuz https://t.co/iS61ZUFlDS via @viuzfr","2017-08-31 07:10 +0000","293.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902922642973499392","https://twitter.com/DataBzh/status/902922642973499392","RT @bmallet: Rennes financé pour mettre en place le premier service public métropolitain
https://t.co/EOwL42RArP","2017-08-30 15:55 +0000","343.0","7.0","0.02040816326530612","1.0","0.0","0.0","1.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902874822237093888","https://twitter.com/DataBzh/status/902874822237093888","What can #machinelearning do at scale? -  https://t.co/lpraoJ0cXO","2017-08-30 12:45 +0000","354.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902834551357100032","https://twitter.com/DataBzh/status/902834551357100032","7 Great Benefits of #BigData in #Marketing https://t.co/ULsjA0G7wK","2017-08-30 10:05 +0000","262.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902831942646693889","https://twitter.com/DataBzh/status/902831942646693889","[Archive] #Datasnack #31 — Centres d'art et d'exposition de Bretagne https://t.co/JuPilQ0xUK","2017-08-30 09:54 +0000","347.0","2.0","0.005763688760806916","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902800571811409920","https://twitter.com/DataBzh/status/902800571811409920","RT @opendata_fr: Loi Macron : 2 ans plus tard, toujours pas de décret pour l’Open Data dans les transports #opendata https://t.co/cQw0RV08J4","2017-08-30 07:50 +0000","391.0","2.0","0.005115089514066497","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"902557762948870145","https://twitter.com/DataBzh/status/902557762948870145","#OpenData : L’avenir de la réutilisation des données publiques -  https://t.co/yjiMtxbJTT","2017-08-29 15:45 +0000","383.0","8.0","0.020887728459530026","1.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
