"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"1";"Allineuc";"22001";"22";"53";590;2445;48,3159234038675;-2,86549597308277
"2";"Andel";"22002";"22";"53";1114;1236;48,4888173669079;-2,55821762122668
"3";"Aucaleuc";"22003";"22";"53";914;650;48,4532836355873;-2,12846701001804
"4";"Bégard";"22004";"22";"53";4786;3637;48,6338695709413;-3,28825175320501
"5";"Belle-Isle-en-Terre";"22005";"22";"53";1102;1431;48,532229948372;-3,3798582129988
"6";"Berhet";"22006";"22";"53";243;331;48,6974268242138;-3,30859881142927
"7";"Bobital";"22008";"22";"53";1069;507;48,4126571199108;-2,09666408617459
"8";"Bodéo";"22009";"22";"53";168;1028;48,3264150129309;-2,9227578612641
"9";"Rostrenen";"22266";"22";"53";3224;3236;48,220372973462;-3,30787885605242
"10";"Boqueho";"22011";"22";"53";1086;2775;48,471806024983;-2,97236274811748
"11";"Bouillie";"22012";"22";"53";849;1097;48,5864425229391;-2,44290224689251
"12";"Bourbriac";"22013";"22";"53";2339;7315;48,471508387112;-3,19646368250571
"13";"Bourseul";"22014";"22";"53";1118;2247;48,4781016612538;-2,25992183757799
"14";"Bréhand";"22015";"22";"53";1542;2595;48,3937670946768;-2,59255715241074
"15";"Île-de-Bréhat";"22016";"22";"53";406;350;48,8494573073022;-3,00243544186474
"16";"Lannion";"22113";"22";"53";19627;4775;48,7431276459942;-3,46033725949324
"17";"Brélidy";"22018";"22";"53";303;828;48,6539473831842;-3,22508028908327
"18";"Bringolo";"22019";"22";"53";439;938;48,5779189088271;-3,00197867250138
"19";"Broons";"22020";"22";"53";2958;3579;48,3109706225744;-2,25009467072142
"20";"Brusvily";"22021";"22";"53";1145;1208;48,3942111961977;-2,11244314362543
"21";"Bulat-Pestivien";"22023";"22";"53";446;3173;48,4357467418232;-3,33559990076564
"22";"Calanhel";"22024";"22";"53";210;1467;48,4398964621345;-3,47166415778603
"23";"Callac";"22025";"22";"53";2236;3350;48,4107499676979;-3,42144560203231
"24";"Calorguen";"22026";"22";"53";694;861;48,4055628986104;-2,02389170154179
"25";"Cambout";"22027";"22";"53";452;1827;48,0497837376305;-2,62441570187413
"26";"Camlez";"22028";"22";"53";882;1183;48,7833114067097;-3,31636545220543
