"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"1";"Argol";"29001";"29";"53";1023;3160;48,2473200029167;-4,30610438615297
"2";"Arzano";"29002";"29";"53";1384;3397;47,8909710732754;-3,44386478708219
"3";"Audierne";"29003";"29";"53";3752;1868;48,0229475599459;-4,56462313700271
"4";"Bannalec";"29004";"29";"53";5569;7800;47,9423541327781;-3,69035711442395
"5";"Baye";"29005";"29";"53";1139;732;47,8570511529468;-3,6136089198813
"6";"Bénodet";"29006";"29";"53";3442;1060;47,8791833105191;-4,07680646242124
"7";"Berrien";"29007";"29";"53";974;5612;48,401496336003;-3,76184647715684
"8";"Beuzec-Cap-Sizun";"29008";"29";"53";1042;3516;48,0764205793325;-4,50940706825221
"9";"Concarneau";"29039";"29";"53";18867;4092;47,8887515274608;-3,91072520279305
"10";"Bodilis";"29010";"29";"53";1567;2022;48,517043057239;-4,11691335435434
"11";"Bohars";"29011";"29";"53";3528;735;48,4299270502458;-4,52091481582487
"12";"Bolazec";"29012";"29";"53";192;1747;48,4371290350582;-3,59467729825392
"13";"Botmeur";"29013";"29";"53";218;1439;48,37284905237;-3,91176719364833
"14";"Botsorhel";"29014";"29";"53";448;2558;48,5086785975381;-3,63127988119988
"15";"Bourg-Blanc";"29015";"29";"53";3447;2857;48,4926723594631;-4,49755974458664
"16";"Brasparts";"29016";"29";"53";1054;4711;48,3122767798566;-3,94736819404834
"17";"Brélès";"29017";"29";"53";865;1400;48,4727467184835;-4,6901173591318
"18";"Brennilis";"29018";"29";"53";467;2030;48,3588330785243;-3,85840064036078
"19";"Brest";"29019";"29";"53";139386;4948;48,4025860282449;-4,50183610609589
"20";"Briec";"29020";"29";"53";5554;6769;48,0907743601776;-4,00983372822633
"21";"Brignogan-Plages";"29021";"29";"53";740;386;48,6739608461138;-4,33558846007976
"22";"Camaret-sur-Mer";"29022";"29";"53";2586;1343;48,2673585746098;-4,60184044635384
"23";"Carantec";"29023";"29";"53";3151;936;48,6739241630043;-3,9101113558603
"24";"Carhaix-Plouguer";"29024";"29";"53";7397;2598;48,2695867414543;-3,56109685482459
"25";"Cast";"29025";"29";"53";1636;3745;48,1501613530295;-4,12095854929886
"26";"Châteaulin";"29026";"29";"53";5177;2014;48,2034586763998;-4,077773795533
"27";"Châteauneuf-du-Faou";"29027";"29";"53";3717;4202;48,1925049131214;-3,82975668436383
"28";"Cléden-Cap-Sizun";"29028";"29";"53";973;1920;48,0615130389673;-4,67338969799329
"29";"Cléden-Poher";"29029";"29";"53";1117;3013;48,2495878522406;-3,66025282240146
"30";"Cléder";"29030";"29";"53";3833;3751;48,659124998746;-4,13367673878505
"31";"Clohars-Carnoët";"29031";"29";"53";4176;3596;47,7864645243625;-3,56903112409006
"32";"Clohars-Fouesnant";"29032";"29";"53";2123;1295;47,8981951681928;-4,08014845960884
"33";"Cloître-Pleyben";"29033";"29";"53";563;2037;48,2601824991758;-3,89831370891409
"34";"Cloître-Saint-Thégonnec";"29034";"29";"53";675;2858;48,4616668869503;-3,79510078323925
"35";"Coat-Méal";"29035";"29";"53";1068;1072;48,5090358887082;-4,53881788310326
"36";"Collorec";"29036";"29";"53";647;2846;48,2918115493462;-3,77430669216783
"37";"Combrit";"29037";"29";"53";3826;2423;47,8904604817878;-4,1624254359956
"38";"Commana";"29038";"29";"53";1080;4021;48,413212477151;-3,97315968124568
"39";"Conquet";"29040";"29";"53";2700;901;48,3713533177459;-4,84590320760523
"40";"Coray";"29041";"29";"53";1904;3137;48,0707191120031;-3,85685145825977
"41";"Crozon";"29042";"29";"53";7634;8114;48,2394278469596;-4,49806234949326
"42";"Daoulas";"29043";"29";"53";1768;568;48,357343152895;-4,26835242361072
"43";"Dinéault";"29044";"29";"53";1885;4609;48,2227486038133;-4,16024063884082
"44";"Dirinon";"29045";"29";"53";2342;3388;48,4005163808671;-4,27090362221043
"45";"Douarnenez";"29046";"29";"53";14750;2550;48,0845843261103;-4,33201798333951
"46";"Drennec";"29047";"29";"53";1772;958;48,5324871888352;-4,37900203504038
"47";"Edern";"29048";"29";"53";2202;4028;48,111723490993;-3,96483076100558
"48";"Elliant";"29049";"29";"53";3199;7059;48,007943672311;-3,91151718011553
"49";"Quimper";"29232";"29";"53";63532;8455;47,9900753631252;-4,0915274611224
"50";"Ergué-Gabéric";"29051";"29";"53";8136;3971;48,0068806361145;-4,00960092542169
"51";"Faou";"29053";"29";"53";1725;1196;48,3037451631972;-4,14581196233832
"52";"Feuillée";"29054";"29";"53";632;3147;48,3890550852967;-3,84460190162923
"53";"Folgoët";"29055";"29";"53";3142;982;48,5667618396588;-4,34982535698347
"54";"Forest-Landerneau";"29056";"29";"53";1813;969;48,4346369149345;-4,31329304394492
"55";"Forêt-Fouesnant";"29057";"29";"53";3252;1909;47,9192943931048;-3,96701248923658
"56";"Fouesnant";"29058";"29";"53";9305;3402;47,7981308619936;-4,00665902528683
"57";"Garlan";"29059";"29";"53";1028;1342;48,608680976662;-3,76834077099515
"58";"Gouesnach";"29060";"29";"53";2679;1705;47,917010785525;-4,10881929267729
"59";"Gouesnou";"29061";"29";"53";5845;1217;48,4478726199408;-4,46195822869499
"60";"Gouézec";"29062";"29";"53";1124;3116;48,1702514145316;-3,98136474082434
"61";"Goulien";"29063";"29";"53";434;1294;48,0652313597619;-4,59736087347873
"62";"Goulven";"29064";"29";"53";436;680;48,6278040296177;-4,29299317238206
