"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"770970070281519104","https://twitter.com/DataBzh/status/770970070281519104","#DataScience Life and Mystery — Uncommon #RStats Tips : https://t.co/Ap2lPknMcD","2016-08-31 13:02 +0000","287.0","3.0","0.010452961672473868","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770934728904114177","https://twitter.com/DataBzh/status/770934728904114177","#JourneeMondialeDuBlog — sélection #DataScience / #RStats / #DDJ : 
- @Rbloggers 
- @drob 
- @revodavid 
- @dataspotTLG 
- @BananaData","2016-08-31 10:42 +0000","1066.0","21.0","0.019699812382739212","2.0","0.0","4.0","11.0","0.0","2.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770921662560829440","https://twitter.com/DataBzh/status/770921662560829440","Full Solution – Skilltest on #RStats for #DataScience : https://t.co/kUHliElmYz","2016-08-31 09:50 +0000","280.0","2.0","0.007142857142857143","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770876356427149312","https://twitter.com/DataBzh/status/770876356427149312","#Data geeks are taking over economics : https://t.co/0aqjltYa9c via @BV","2016-08-31 06:50 +0000","203.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770753056510181382","https://twitter.com/DataBzh/status/770753056510181382","Dis, c'est quoi une API ? https://t.co/s66KNHpQ7p #blog","2016-08-30 22:40 +0000","279.0","10.0","0.035842293906810034","2.0","0.0","1.0","0.0","6.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770605840793501696","https://twitter.com/DataBzh/status/770605840793501696","#OpenData — Service public et données : comment passer à la vitesse supérieure ? https://t.co/iI4sOuNNKJ","2016-08-30 12:55 +0000","474.0","7.0","0.014767932489451477","2.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770564310464622592","https://twitter.com/DataBzh/status/770564310464622592","#OpenData — La Bibliothèque de Lyon libère le domaine public avec la Licence Ouverte : https://t.co/Tu4eb8SYn2","2016-08-30 10:10 +0000","362.0","4.0","0.011049723756906077","1.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770525590231343104","https://twitter.com/DataBzh/status/770525590231343104","#Machinelearning and natural language processing (#NLP) can make financial research more efficient : https://t.co/xQKEj4pD6f by @smelendez","2016-08-30 07:36 +0000","825.0","7.0","0.008484848484848486","2.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770522940219752448","https://twitter.com/DataBzh/status/770522940219752448","@OdataMalo merci ! Nous préparons la mise à jour très rapidement.","2016-08-30 07:25 +0000","67.0","5.0","0.07462686567164178","0.0","0.0","1.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770517735348572160","https://twitter.com/DataBzh/status/770517735348572160","Tutorial – #DataScience at #CommandLine with #RStats : https://t.co/Tb2iBBSZYU","2016-08-30 07:05 +0000","270.0","1.0","0.003703703703703704","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770299433711968256","https://twitter.com/DataBzh/status/770299433711968256","Data Bzh sur Twitter — Juillet 2016 https://t.co/l2WBaVGOcJ #opensocialdata","2016-08-29 16:37 +0000","192.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770242163426951168","https://twitter.com/DataBzh/status/770242163426951168","Who owns your #code and text and who can use it legally?  Copyright and licensing basics for #OpenSource : https://t.co/kse3OSDzyf","2016-08-29 12:50 +0000","202.0","1.0","0.0049504950495049506","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770201909554737152","https://twitter.com/DataBzh/status/770201909554737152","List of useful packages (libraries) for #DataAnalysis in #RStats :  https://t.co/ivKVRwKrY1","2016-08-29 10:10 +0000","431.0","2.0","0.004640371229698376","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770155337622122496","https://twitter.com/DataBzh/status/770155337622122496","3 Things About #DataScience You Won’t Find In Books : https://t.co/CwSbFUWm3x via @kdnuggets","2016-08-29 07:05 +0000","190.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769846352041938944","https://twitter.com/DataBzh/status/769846352041938944","#Datasnack #20 — Le Tour de France en Bretagne https://t.co/Aj7uf9rTcC","2016-08-28 10:37 +0000","273.0","1.0","0.003663003663003663","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769838231324065792","https://twitter.com/DataBzh/status/769838231324065792","#MachineLearning — Learning from Imbalanced Classes : https://t.co/j55mZibNiV #DataScience","2016-08-28 10:05 +0000","168.0","3.0","0.017857142857142856","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769790406011879424","https://twitter.com/DataBzh/status/769790406011879424","Six Practical #DataCenter Management Tips by @nicholsrmegan : https://t.co/o4527P3uF4 #BigData","2016-08-28 06:55 +0000","247.0","5.0","0.020242914979757085","1.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769522460488306688","https://twitter.com/DataBzh/status/769522460488306688","Améliorer les apprentissages grâce à la #blockchain : https://t.co/mc8py0l8EQ","2016-08-27 13:10 +0000","380.0","1.0","0.002631578947368421","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769472078718308352","https://twitter.com/DataBzh/status/769472078718308352","7 #DataModeling Mistakes that Will Sink your #Analysis : https://t.co/mIVRWHu6zz","2016-08-27 09:50 +0000","176.0","5.0","0.028409090909090908","0.0","0.0","1.0","1.0","2.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769426768486928384","https://twitter.com/DataBzh/status/769426768486928384","Analysis of the #7FavPackages hashtag in #RStats : https://t.co/smr6m4SP3q via @drob","2016-08-27 06:50 +0000","178.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769392253534109696","https://twitter.com/DataBzh/status/769392253534109696","#DataMining — Rennes sur Pinterest https://t.co/kPPFaB2zMm #socialmedia","2016-08-27 04:33 +0000","183.0","4.0","0.02185792349726776","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769206683654651904","https://twitter.com/DataBzh/status/769206683654651904","The key to building a #DataScience portfolio that will get you a job : https://t.co/6x4qlBLKaA","2016-08-26 16:15 +0000","120.0","2.0","0.016666666666666666","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769158830546620416","https://twitter.com/DataBzh/status/769158830546620416","#RStats vs. #Java vs. #Python — Which Is Right for Your Project ?
 https://t.co/zN5KiyWfc7 via @Upwork","2016-08-26 13:05 +0000","206.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769110964079890432","https://twitter.com/DataBzh/status/769110964079890432","#DataScience — How to Choose Between Learning #Python or #RStats First : https://t.co/Y9hiiguU0S via @udacity","2016-08-26 09:55 +0000","514.0","10.0","0.019455252918287938","4.0","0.0","1.0","0.0","3.0","2.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"769068194946490368","https://twitter.com/DataBzh/status/769068194946490368","#DataViz — The Science Behind Buzzfeed's Viral Articles : https://t.co/3h0zKtpnO4","2016-08-26 07:05 +0000","172.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768939242433155072","https://twitter.com/DataBzh/status/768939242433155072","#Datasnack #15 - Mariages à Rennes par tranche d'âge et par sexe https://t.co/apPB1g11HD","2016-08-25 22:32 +0000","194.0","1.0","0.005154639175257732","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768911979314499584","https://twitter.com/DataBzh/status/768911979314499584","Data Bzh sur Twitter — Juillet 2016 https://t.co/l2WBaVYp4h https://t.co/bnMUDm8HrE","2016-08-25 20:44 +0000","183.0","2.0","0.01092896174863388","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768844290273472513","https://twitter.com/DataBzh/status/768844290273472513","Visualising Residuals in #RStats : inhttp://drsimonj.svbtle.com/visualising-residuals via @drsimonj","2016-08-25 16:15 +0000","244.0","1.0","0.004098360655737705","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
