"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"704349316157194240","https://twitter.com/DataBzh/status/704349316157194240","#Dataviz — 3 easy steps to avoid deceitful #data visualizations : https://t.co/7AjBALmO6Q","2016-02-29 16:55 +0000","100.0","2.0","0.02","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704301513645137921","https://twitter.com/DataBzh/status/704301513645137921","Pourquoi parle-t-on de #BigData ? https://t.co/dfgPZqQjYQ via @MbaMci","2016-02-29 13:45 +0000","59.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704258642435043328","https://twitter.com/DataBzh/status/704258642435043328","Cartographie des séries TV britanniques : https://t.co/dvN80ByGBn via @spotern","2016-02-29 10:55 +0000","56.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704217128442994688","https://twitter.com/DataBzh/status/704217128442994688","Quel avenir pour l'#OpenData ? https://t.co/3liBq1BGsj via @journaldunet","2016-02-29 08:10 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704209513184960512","https://twitter.com/DataBzh/status/704209513184960512","#DataScience — Text Analysis 101. Document Classification : https://t.co/Y0S2Tbqaw6 via @kdnuggets","2016-02-29 07:40 +0000","119.0","3.0","0.025210084033613446","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704200712180387841","https://twitter.com/DataBzh/status/704200712180387841","#BigData — Les agriculteurs apprennent à cultiver les données : https://t.co/l0ZkFFQelh via @ericdebray","2016-02-29 07:05 +0000","55.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704020431578275840","https://twitter.com/DataBzh/status/704020431578275840","#Data et #Logiciel — Découvrez R : https://t.co/Qv4Pg4GvYK https://t.co/2l7KyeLIvE","2016-02-28 19:08 +0000","489.0","18.0","0.03680981595092025","1.0","0.0","0.0","4.0","6.0","0.0","4.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703989397427982337","https://twitter.com/DataBzh/status/703989397427982337","#OpenData — @openfoodfactsfr, La base de données libre sur les produits alimentaires : https://t.co/RpxoeAyS7j","2016-02-28 17:05 +0000","69.0","2.0","0.028985507246376812","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703945326399504385","https://twitter.com/DataBzh/status/703945326399504385","Le #BigData — de quoi parle-t-on ? https://t.co/zJvsufnOyW","2016-02-28 14:10 +0000","128.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703894969464057856","https://twitter.com/DataBzh/status/703894969464057856","#Césars2016 — Portrait-robot du lauréat du meilleur film : https://t.co/e1h0eYZVgh via @hashtagmonde #Dataviz","2016-02-28 10:50 +0000","87.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703850911181852672","https://twitter.com/DataBzh/status/703850911181852672","La #Bretagne vue par Google Autocomplete : https://t.co/YomvAvmhyj","2016-02-28 07:55 +0000","71.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703838312490905600","https://twitter.com/DataBzh/status/703838312490905600","15 questions à un Expert #DataViz : https://t.co/ZDJhDmnbQC via @couthonconseil","2016-02-28 07:05 +0000","263.0","3.0","0.011406844106463879","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703823216234463238","https://twitter.com/DataBzh/status/703823216234463238","The common alphabet of programming languages : https://t.co/gfy2BNNSqI","2016-02-28 06:05 +0000","53.0","1.0","0.018867924528301886","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703605402555031556","https://twitter.com/DataBzh/status/703605402555031556","9 Steps to Become a #DataScientist from Scratch: https://t.co/1ePKCSXXKm","2016-02-27 15:39 +0000","57.0","2.0","0.03508771929824561","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703584651940642816","https://twitter.com/DataBzh/status/703584651940642816","Un #algorithme, qu'est-ce que c'est ? https://t.co/QHo86hHDiM","2016-02-27 14:17 +0000","81.0","1.0","0.012345679012345678","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703581559933300736","https://twitter.com/DataBzh/status/703581559933300736","Chronique de @purestoragefr — Le #BigData en un claquement de doigt ! https://t.co/SOBdrypCpl via @journaldunet","2016-02-27 14:04 +0000","154.0","3.0","0.01948051948051948","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703265959189061632","https://twitter.com/DataBzh/status/703265959189061632","#BigData — Quand la machine dépasse l'intelligence humaine : https://t.co/IwPvvqPOBj via @lesclesdedemain @ibm_france","2016-02-26 17:10 +0000","171.0","5.0","0.029239766081871343","1.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703215577154854912","https://twitter.com/DataBzh/status/703215577154854912","#BigData — 5 articles pour comprendre et choisir sa solution : https://t.co/xJJCOxw1wo via @lemagit","2016-02-26 13:50 +0000","78.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703195359879827456","https://twitter.com/DataBzh/status/703195359879827456","#Brest. La métamorphose de la ville en trois dimensions : https://t.co/reIDpppeQY via @DataspotTLG #Bretagne #Dataviz","2016-02-26 12:30 +0000","126.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703170211025817600","https://twitter.com/DataBzh/status/703170211025817600","Vous êtes cinéphile ? Voici une formation #BigData pour vous ! https://t.co/hpFqnWSArv","2016-02-26 10:50 +0000","262.0","4.0","0.015267175572519083","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703126147463192577","https://twitter.com/DataBzh/status/703126147463192577","#BigData — Où en sont les entreprises françaises ? https://t.co/qPWUjni4Nd","2016-02-26 07:55 +0000","205.0","1.0","0.004878048780487805","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703110182419566592","https://twitter.com/DataBzh/status/703110182419566592","@_Marsouin_ @Orelie_C merci !","2016-02-26 06:51 +0000","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703097284582506496","https://twitter.com/DataBzh/status/703097284582506496","Comment le #BigData peut rendre l’Entreprise plus Durable ? https://t.co/E5XhgcnxcP","2016-02-26 06:00 +0000","83.0","2.0","0.024096385542168676","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"702899745421926403","https://twitter.com/DataBzh/status/702899745421926403","Point de vue – #OpenData : quels enjeux pour les personnes publiques et les contrats publics ? https://t.co/cIRlG9g9qj","2016-02-25 16:55 +0000","74.0","1.0","0.013513513513513514","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
