"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"748611787998765061","https://twitter.com/DataBzh/status/748611787998765061","Datasnack #12 — Effectifs des bénéficiaires bretons de la prime d'excellence scientifique par discipline et par se https://t.co/CwY1o4PhF3","2016-06-30 20:18 +0000","155.0","2.0","0.012903225806451613","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748611496167485440","https://twitter.com/DataBzh/status/748611496167485440","07 Juillet — Data Bzh à l'Apéro StoryCode « nouvelles écritures » de Rennes https://t.co/nwZxTDndNi","2016-06-30 20:17 +0000","388.0","7.0","0.01804123711340206","2.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748545485842038784","https://twitter.com/DataBzh/status/748545485842038784","Using One Programming Language In the Context of Another - #Python and #RStats : https://t.co/NSEFe9Afxn via @psychemedia","2016-06-30 15:55 +0000","304.0","3.0","0.009868421052631578","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748534462531702785","https://twitter.com/DataBzh/status/748534462531702785","Et toi, tu seras là à l'apéro #StoryCodeGO de @ouestmedialab ? 
Viens, c'est à @LaCordeeRennes, et ça va être bien ! https://t.co/cqDcMgPtop","2016-06-30 15:11 +0000","976.0","10.0","0.010245901639344262","3.0","0.0","3.0","3.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748501792053403648","https://twitter.com/DataBzh/status/748501792053403648","#DataViz — An Illustrated Tour of the Pie Chart Study Results : https://t.co/PLIv9jspTw","2016-06-30 13:01 +0000","185.0","2.0","0.010810810810810811","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748486507267121152","https://twitter.com/DataBzh/status/748486507267121152","Datasnack #17 — Mariages en Bretagne – 2002 / 2013 https://t.co/bgvwYRhEGB https://t.co/KPSrb0aDpJ","2016-06-30 12:01 +0000","235.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748453587760648192","https://twitter.com/DataBzh/status/748453587760648192","#BigData — The Human Element of the #DataDriven Campaign : https://t.co/NqyJOBPrNK via @DataconomyMedia","2016-06-30 09:50 +0000","211.0","2.0","0.009478672985781991","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748414590199996416","https://twitter.com/DataBzh/status/748414590199996416","Top 10 #DataMining Algorithms, Explained : https://t.co/4f4L5wr3bP via @kdnuggets","2016-06-30 07:15 +0000","213.0","5.0","0.023474178403755867","2.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748185609638973440","https://twitter.com/DataBzh/status/748185609638973440","#RStats — identify method for ggtree : https://t.co/ibgS2oRzXP","2016-06-29 16:05 +0000","213.0","1.0","0.004694835680751174","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748135280394244097","https://twitter.com/DataBzh/status/748135280394244097","Exploring Artificial Intelligence via Natural Language Processing : https://t.co/0pFJasqft7","2016-06-29 12:45 +0000","267.0","4.0","0.0149812734082397","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
